dataset;data_type;binary_feature;fold;n;p;algorithm;penalty_type;lamb;g;simulation_seed;support_size;train_auc;test_auc;train_acc;test_acc;train_log_loss;test_log_loss;train_obj;test_obj;train_precision;train_recall;train_f1_score;train_exp_loss;test_exp_loss;train_duration;
fico;real;TRUE;0;8367;1917;fastsparse_qcut;L0L2;6;0.001;NA;16;0.801314520578232;0.789908828099459;0.730727859447831;0.72131931166348;4532.45044558051;1163.7893856528;4636.27914435168;1267.61808442397;NA;NA;NA;8418.62004630948;2282.79356754457;6.41573548316956;
fico;real;TRUE;0;8367;1917;fastsparse_qcut;L0L2;7;0.001;NA;14;0.798739917099553;0.78872555862074;0.72750089637863;0.719885277246654;4551.05776329892;1165.70622349583;4656.17279403814;1270.82125423506;NA;NA;NA;8409.52408869839;2279.50061455049;4.50781011581421;
fico;real;TRUE;0;8367;1917;fastsparse_lcut;L0L2;0.8;1e-05;NA;83;0.820169159619351;0.789810107518192;0.744233297478188;0.724187380497132;4340.79118568219;1187.57961887353;4407.47529309772;1254.26372628906;NA;NA;NA;8410.62677438635;10995.1767624858;119.169708251953;
fico;real;TRUE;0;8367;1917;fastsparse_lcut;L0L2;1;1e-05;NA;69;0.817187990112186;0.79079731333086;0.741723437313254;0.718929254302103;4365.44158042196;1189.49022584446;4434.56986750397;1258.61851292647;NA;NA;NA;8372.03319000975;13249.7329678434;61.2640039920807;
fico;real;TRUE;0;8367;1917;fastsparse_lcut;L0L2;2;1e-05;NA;37;0.810252106985314;0.793194616376413;0.735628062626987;0.720363288718929;4440.95561936822;1163.45450015806;4515.03074619859;1237.52962698843;NA;NA;NA;8408.90534652654;2462.34017274987;49.3929309844971;
fico;real;TRUE;0;8367;1917;fastsparse_lcut;L0L2;3;1e-05;NA;24;0.805505203278437;0.792892944646681;0.730249790844986;0.722753346080306;4489.68050960452;1160.38565003248;4561.7525569129;1232.45769734087;NA;NA;NA;8478.74666252759;2380.11580201699;9.8440101146698;
fico;real;TRUE;0;8367;1917;fastsparse_lcut;L0L2;4;1e-05;NA;21;0.804622379092453;0.794247023689266;0.730010756543564;0.722275334608031;4502.90532960987;1156.92141007408;4586.97481664249;1240.9908971067;NA;NA;NA;8471.024413797;2343.84384967507;6.74692797660828;
fico;real;TRUE;0;8367;1917;fastsparse_lcut;L0L2;5;1e-05;NA;19;0.80294192906211;0.79144335918129;0.729413170790008;0.719885277246654;4515.79453862853;1157.67091366466;4610.86601247628;1252.74238751242;NA;NA;NA;8459.95652462054;2299.91233158825;7.68700695037842;
fico;real;TRUE;0;8367;1917;fastsparse_lcut;L0L2;6;1e-05;NA;16;0.801319956335421;0.789936378029115;0.73060834229712;0.721797323135755;4532.31810626747;1164.47873527145;4628.39899845595;1260.55962745993;NA;NA;NA;8479.94499753105;2307.5498668372;6.45884871482849;
fico;real;TRUE;0;8367;1917;fastsparse_lcut;L0L2;7;1e-05;NA;14;0.798773389920138;0.788333431288639;0.72750089637863;0.719885277246654;4550.94467966855;1166.34805392258;4649.01798752416;1264.42136177819;NA;NA;NA;8465.52413150926;2301.43451841805;5.25405287742615;
fico;real;TRUE;0;8367;1917;fastsparse_lcut;L0L2;0.8;0.001;NA;83;0.81985740463994;0.791620597062076;0.741603920162543;0.721797323135755;4339.38341804645;1174.90404471944;4419.25351743211;1254.7741441051;NA;NA;NA;8274.44904797442;3400.66833066313;96.0265140533447;
fico;real;TRUE;0;8367;1917;fastsparse_lcut;L0L2;1;0.001;NA;65;0.816139604205926;0.792980645256086;0.74016971435401;0.719885277246654;4380.09739630237;1169.56356692427;4454.00876799258;1243.47493861448;NA;NA;NA;8373.08971713336;3300.70850610482;63.4613523483276;
fico;real;TRUE;0;8367;1917;fastsparse_lcut;L0L2;2;0.001;NA;36;0.809573552832642;0.794673129267943;0.73491095972272;0.726577437858509;4448.85612072532;1156.77759366216;4527.61529019777;1235.53676313461;NA;NA;NA;8382.82179167721;2382.82923200379;42.8278865814209;
fico;real;TRUE;0;8367;1917;fastsparse_lcut;L0L2;3;0.001;NA;25;0.806070722290827;0.794185036347541;0.735747579777698;0.723709369024857;4484.39040076358;1157.63869810503;4565.83475613812;1239.08305347956;NA;NA;NA;8416.55450728095;2365.766830982;8.71443486213684;
fico;real;TRUE;0;8367;1917;fastsparse_lcut;L0L2;4;0.001;NA;21;0.804516982621484;0.794379263351614;0.729771722242142;0.722275334608031;4503.00222323505;1156.15346273522;4593.72196890252;1246.87320840269;NA;NA;NA;8417.8346635279;2320.6636042007;6.76073932647705;
fico;real;TRUE;0;8367;1917;fastsparse_lcut;L0L2;5;0.001;NA;18;0.80251899854356;0.790336770340113;0.729293653639297;0.720363288718929;4518.72686882632;1160.70386442222;4616.26329358727;1258.24028918317;NA;NA;NA;8406.79111428429;2295.0657977256;7.81112027168274;
fico;real;TRUE;0;8367;1917;fastsparse_lcut;L0L2;6;0.001;NA;16;0.801314520578232;0.789908828099459;0.730727859447831;0.72131931166348;4532.45044558051;1163.7893856528;4636.27914435168;1267.61808442397;NA;NA;NA;8418.62004630948;2282.79356754457;6.78391146659851;
fico;real;TRUE;0;8367;1917;fastsparse_lcut;L0L2;7;0.001;NA;14;0.798739917099553;0.78872555862074;0.72750089637863;0.719885277246654;4551.05776329892;1165.70622349583;4656.17279403814;1270.82125423506;NA;NA;NA;8409.52408869839;2279.50061455049;4.62501811981201;
fico;real;TRUE;0;8367;1917;l0learn;L0L2;0.8;1e-05;NA;83;0.820169159619351;0.789810107518192;0.744233297478188;0.724187380497132;4340.79118568219;1187.57961887353;4407.47529309772;1254.26372628906;NA;NA;NA;8410.62677438635;10995.1767624858;203.381780147552;
fico;real;TRUE;0;8367;1917;l0learn;L0L2;1;1e-05;NA;69;0.817187990112186;0.79079731333086;0.741723437313254;0.718929254302103;4365.44158042196;1189.49022584446;4434.56986750397;1258.61851292647;NA;NA;NA;8372.03319000975;13249.7329678434;96.7705671787262;
fico;real;TRUE;0;8367;1917;l0learn;L0L2;2;1e-05;NA;37;0.810252106985314;0.793194616376413;0.735628062626987;0.720363288718929;4440.95561936822;1163.45450015806;4515.03074619859;1237.52962698843;NA;NA;NA;8408.90534652654;2462.34017274987;73.5815839767456;
fico;real;TRUE;0;8367;1917;l0learn;L0L2;3;1e-05;NA;24;0.805505203278437;0.792892944646681;0.730249790844986;0.722753346080306;4489.68050960452;1160.38565003248;4561.7525569129;1232.45769734087;NA;NA;NA;8478.74666252759;2380.11580201699;13.3585448265076;
fico;real;TRUE;0;8367;1917;l0learn;L0L2;4;1e-05;NA;21;0.804622379092453;0.794247023689266;0.730010756543564;0.722275334608031;4502.90532960987;1156.92141007408;4586.97481664249;1240.9908971067;NA;NA;NA;8471.024413797;2343.84384967507;7.99448466300964;
fico;real;TRUE;0;8367;1917;l0learn;L0L2;5;1e-05;NA;19;0.80294192906211;0.79144335918129;0.729413170790008;0.719885277246654;4515.79453862853;1157.67091366466;4610.86601247628;1252.74238751242;NA;NA;NA;8459.95652462054;2299.91233158825;9.55943655967712;
fico;real;TRUE;0;8367;1917;l0learn;L0L2;6;1e-05;NA;16;0.801319956335421;0.789936378029115;0.73060834229712;0.721797323135755;4532.31810626747;1164.47873527145;4628.39899845595;1260.55962745993;NA;NA;NA;8479.94499753105;2307.5498668372;8.69218134880066;
fico;real;TRUE;0;8367;1917;l0learn;L0L2;7;1e-05;NA;14;0.798773389920138;0.788333431288639;0.72750089637863;0.719885277246654;4550.94467966855;1166.34805392258;4649.01798752416;1264.42136177819;NA;NA;NA;8465.52413150926;2301.43451841805;6.68662691116333;
fico;real;TRUE;0;8367;1917;l0learn;L0L2;0.8;0.001;NA;83;0.81985740463994;0.791620597062076;0.741603920162543;0.721797323135755;4339.38341804645;1174.90404471944;4419.25351743211;1254.7741441051;NA;NA;NA;8274.44904797442;3400.66833066313;161.044028520584;
fico;real;TRUE;0;8367;1917;l0learn;L0L2;1;0.001;NA;65;0.816139604205926;0.792980645256086;0.74016971435401;0.719885277246654;4380.09739630237;1169.56356692427;4454.00876799258;1243.47493861448;NA;NA;NA;8373.08971713336;3300.70850610482;103.94047498703;
fico;real;TRUE;0;8367;1917;l0learn;L0L2;2;0.001;NA;36;0.809573552832642;0.794673129267943;0.73491095972272;0.726577437858509;4448.85612072532;1156.77759366216;4527.61529019777;1235.53676313461;NA;NA;NA;8382.82179167721;2382.82923200379;65.7506806850433;
fico;real;TRUE;0;8367;1917;l0learn;L0L2;3;0.001;NA;25;0.806070722290827;0.794185036347541;0.735747579777698;0.723709369024857;4484.39040076358;1157.63869810503;4565.83475613812;1239.08305347956;NA;NA;NA;8416.55450728095;2365.766830982;11.232791185379;
fico;real;TRUE;0;8367;1917;l0learn;L0L2;4;0.001;NA;21;0.804516982621484;0.794379263351614;0.729771722242142;0.722275334608031;4503.00222323505;1156.15346273522;4593.72196890252;1246.87320840269;NA;NA;NA;8417.8346635279;2320.6636042007;8.71408772468567;
fico;real;TRUE;0;8367;1917;l0learn;L0L2;5;0.001;NA;18;0.80251899854356;0.790336770340113;0.729293653639297;0.720363288718929;4518.72686882632;1160.70386442222;4616.26329358727;1258.24028918317;NA;NA;NA;8406.79111428429;2295.0657977256;10.2566912174225;
fico;real;TRUE;0;8367;1917;l0learn;L0L2;6;0.001;NA;16;0.801314520578232;0.789908828099459;0.730727859447831;0.72131931166348;4532.45044558051;1163.7893856528;4636.27914435168;1267.61808442397;NA;NA;NA;8418.62004630948;2282.79356754457;8.89024829864502;
fico;real;TRUE;0;8367;1917;l0learn;L0L2;7;0.001;NA;14;0.798739917099553;0.78872555862074;0.72750089637863;0.719885277246654;4551.05776329892;1165.70622349583;4656.17279403814;1270.82125423506;NA;NA;NA;8409.52408869839;2279.50061455049;5.87868571281433;
fico;real;TRUE;1;8367;1917;fastsparse Logistic;L0L2;0.8;1e-05;NA;69;0.821684050835814;0.772446886446886;0.745428468985299;0.694550669216061;4335.30441197321;1204.23286965965;4390.65029323894;1259.57875092538;NA;NA;NA;8523.21246154882;2511.51312410259;25.7122712135315;
fico;real;TRUE;1;8367;1917;fastsparse Logistic;L0L2;1;1e-05;NA;59;0.819206291504465;0.773032967032967;0.742560057368232;0.694072657743786;4361.70151620091;1197.14439116993;4420.80097894972;1256.24385391874;NA;NA;NA;8500.77033363723;2396.58797174922;25.4339277744293;
fico;real;TRUE;1;8367;1917;fastsparse Logistic;L0L2;2;1e-05;NA;36;0.814737147927639;0.774603937728938;0.738735508545476;0.699330783938815;4406.41205413016;1193.6723986996;4478.48981756602;1265.75016213546;NA;NA;NA;8495.58396305886;2369.0316086926;10.7527554035187;
fico;real;TRUE;1;8367;1917;fastsparse Logistic;L0L2;3;1e-05;NA;24;0.810545569040531;0.772298992673993;0.736703716983387;0.698852772466539;4451.41716278712;1199.14822811208;4523.4875756389;1271.21864096386;NA;NA;NA;8526.87147328164;2353.81700244371;6.93567657470703;
fico;real;TRUE;1;8367;1917;fastsparse Logistic;L0L2;4;1e-05;NA;19;0.807974066865125;0.774326923076923;0.737779371339787;0.702198852772467;4477.1014726859;1195.27753159201;4553.17119520583;1271.34725411194;NA;NA;NA;8557.94404233863;2353.47298410947;5.70245456695557;
fico;real;TRUE;1;8367;1917;fastsparse Logistic;L0L2;5;1e-05;NA;18;0.807207980306847;0.772181776556777;0.736703716983387;0.700286806883365;4480.74857828709;1198.39630906876;4570.81867462439;1288.46640540605;NA;NA;NA;8504.41645634965;2331.99518694975;5.08832383155823;
fico;real;TRUE;1;8367;1917;fastsparse Logistic;L0L2;6;1e-05;NA;18;0.807345002289902;0.773858974358974;0.738376957093343;0.700764818355641;4481.22794071049;1195.18136074932;4589.29528402247;1303.24870406131;NA;NA;NA;8533.02183326008;2341.56320039519;4.37814879417419;
fico;real;TRUE;1;8367;1917;fastsparse Logistic;L0L2;7;1e-05;NA;14;0.802961272040302;0.77089880952381;0.735030476873431;0.70697896749522;4518.26831614499;1198.4118708676;4616.3353146695;1296.4788693921;NA;NA;NA;8489.87533794911;2307.63795664688;3.27362322807312;
fico;real;TRUE;1;8367;1917;fastsparse Logistic;L0L2;0.8;0.001;NA;69;0.821663098236776;0.773474358974359;0.746026054738855;0.696940726577438;4331.40646999463;1199.18831209097;4397.55454199776;1265.3363840941;NA;NA;NA;8387.61448816472;2462.62825943975;14.3593912124634;
fico;real;TRUE;1;8367;1917;fastsparse Logistic;L0L2;1;0.001;NA;53;0.818122309365697;0.774910256410256;0.739452611449743;0.700764818355641;4369.0813278375;1194.94087224669;4430.48327727452;1256.34282168371;NA;NA;NA;8431.9984713714;2403.71161107913;13.4372608661652;
fico;real;TRUE;1;8367;1917;fastsparse Logistic;L0L2;2;0.001;NA;34;0.814148958094802;0.774505036630037;0.739572128600454;0.697896749521989;4415.79071507076;1194.05181685192;4490.33064133319;1268.59174311436;NA;NA;NA;8472.25371269701;2340.59176597446;8.02114868164062;
fico;real;TRUE;1;8367;1917;fastsparse Logistic;L0L2;3;0.001;NA;24;0.81044882070071;0.772472985347985;0.736584199832676;0.698374760994264;4451.53225738712;1198.50410380954;4530.33935698182;1277.31120340424;NA;NA;NA;8469.93741673968;2336.36089296421;7.0632472038269;
fico;real;TRUE;1;8367;1917;fastsparse Logistic;L0L2;4;0.001;NA;20;0.807968198992443;0.773716117216117;0.735149994024142;0.700286806883365;4472.4854256838;1194.78953495179;4559.04969259844;1281.35380186642;NA;NA;NA;8471.72775681708;2317.57841162741;4.87907981872559;
fico;real;TRUE;1;8367;1917;fastsparse Logistic;L0L2;5;0.001;NA;18;0.807407316235402;0.773883241758242;0.737898888490498;0.701242829827916;4481.53169942115;1193.49237589855;4578.15645072711;1290.11712720451;NA;NA;NA;8489.77733967322;2320.66853424945;5.29410099983215;
fico;real;TRUE;1;8367;1917;fastsparse Logistic;L0L2;6;0.001;NA;17;0.806117128463476;0.773508241758242;0.735149994024142;0.702676864244742;4494.9277564813;1195.44123616625;4603.39086128367;1303.90434096862;NA;NA;NA;8471.44766189343;2321.54724396262;4.50881862640381;
